"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","FOOTPRINT4","FOOTPRINT5","0.1W","ARROW PART NUMBER","ARROW PRICE/STOCK","COMMENT","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","DATASHEET LINK","DIMS","HEIGHT","MANUFACTURER_NAME","MANUFACTURER_PART_NUMBER","MOUSER PART NUMBER","MOUSER PRICE/STOCK","NETNAME","PARAMETER 1","RS PART NUMBER","RS PRICE/STOCK","SYSTEM","VALUE","VOLT","SHEETPART","DESIGNATOR","DESCRIPTION"
"!Pad","Pad_2mm","Pad_3mm","Pad_4mm","","","","","","=NetName","","","","","","","","","","*","","","","Connector","","","*","Pad?",""
"1EDI60N12AFXUMA1","SOIC127P600X175-8N","","","","","","1EDI60N12AFXUMA1","https://www.arrow.com/en/products/1edi60n12afxuma1/infineon-technologies-ag?region=nac","*","","","https://www.infineon.com/dgdl/Infineon-1EDI60N12AF-DS-v02_00-EN.pdf?fileId=db3a3043427ac3e201428e5da08f372a","","1.75mm","Infineon","1EDI60N12AFXUMA1","726-1EDI60N12AFXUMA1","https://www.mouser.co.uk/ProductDetail/Infineon-Technologies/1EDI60N12AFXUMA1?qs=3Bi3m9r5MQZ%2FPKSdeeAtFg%3D%3D","","","","","","","","*","IC?","Integrated Circuit"
"ABM3B-8MHZ","Quartz 5x3.2 mm","","","","","","","","ABM3B-8MHZ","","","","","","","","","","","","","","","","","*","ZQ?",""
"ACPSA04-41CGKWA","ACPSA0441CGKWA","","","","","","","","*","","","https://datasheet.datasheetarchive.com/originals/dk/DKDS-14/260750.pdf","","4mm","Kingbright","ACPSA04-41CGKWA","604-ACPSA04-41CGKWA","https://www.mouser.co.uk/ProductDetail/Kingbright/ACPSA04-41CGKWA/?qs=f499HRGa1RkJ71DaUd7G2A%3D%3D","","","","","","","","*","DS?","Display"
"AD8604ARZ","SOIC127P600X175-14N","","","","","","AD8604ARZ","https://www.arrow.com/en/products/ad8604arz/analog-devices?region=nac","*","","","http://www.analog.com/static/imported-files/data_sheets/AD8601_8602_8604.pdf","","1.75mm","Analog Devices","AD8604ARZ","584-AD8604ARZ","https://www.mouser.co.uk/ProductDetail/Analog-Devices/AD8604ARZ?qs=%2FtpEQrCGXCy16yvAUhSq%252Bg%3D%3D","","","","","","","","*","IC?","Integrated Circuit"
"ADM3053BRWZ","SOIC127P1032X265-20N","","","","","","ADM3053BRWZ","https://www.arrow.com/en/products/adm3053brwz/analog-devices?region=nac","*","","","https://componentsearchengine.com/Datasheets/2/ADM3053BRWZ.pdf","","2.65mm","Analog Devices","ADM3053BRWZ","584-ADM3053BRWZ","https://www.mouser.co.uk/ProductDetail/Analog-Devices/ADM3053BRWZ?qs=BpaRKvA4VqGZYG1hZ9cdqw%3D%3D","","","","","","","","*","IC?","Integrated Circuit"
"ADP3330ARTZ3.3-RL7","SOT95P280X145-6N","","","","","","ADP3330ARTZ3.3-RL7","https://www.arrow.com/en/products/adp3330artz3.3-rl7/analog-devices","*","","","http://www.analog.com/static/imported-files/data_sheets/ADP3330.pdf","","1.45mm","Analog Devices","ADP3330ARTZ3.3-RL7","584-ADP3330ARTZ3.3R7","https://www.mouser.co.uk/ProductDetail/Analog-Devices/ADP3330ARTZ33-RL7?qs=WIvQP4zGanjatFGUBQ2Z0w%3D%3D","","","","","","","","*","IC?","Integrated Circuit"
"ADP3338AKCZ-3.3RL7","SOT-223 \w pad","","","","","","LM2937IMP-3.3/NOPB","https://www.arrow.com/en/products/lm2937imp-3.3nopb/texas-instruments","*","","","https://www.ti.com/lit/ds/symlink/lm2937.pdf?ts=1607582693087&ref_url=https%253A%252F%252Fwww.ti.com%252Fsitesearch%252Fdocs%252Funiversalsearch.tsp%253FsearchTerm%253DLM2937IMP-3.3%252FNOPB","","1.8mm","Texas Instruments","LM2937IMP-3.3/NOPB","926-LM2937IMP3.3NOPB","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/LM2937IMP-33-NOPB/?qs=X1J7HmVL2ZFVwNOBcwuxRQ%3D%3D","","","","","","","","*","IC?","High Accuracy, Ultralow IQ, 1 A, anyCAP Low Dropout Regulator"
"AFBR-1528CZ","AFBR1528CZ","","","","","","","","*","","","https://docs.broadcom.com/docs/pub-005757","","7.6mm","Avago Technologies","AFBR-1528CZ","630-AFBR-1528CZ","https://www.mouser.co.uk/ProductDetail/Broadcom-Avago/AFBR-1528CZ/?qs=JUmsgfbaopQBpiKa9Md%2Flw%3D%3D","","","","","","","","*","IC?","Integrated Circuit"
"AFBR-2528CZ","AFBR2528CZ","","","","","","","","*","","","https://www.mouser.com/datasheet/2/678/ub-005757_DS_AFBR-1528CZ_AFBR-2528CZ_2016-10-03-1130994.pdf","","7.6mm","Avago Technologies","AFBR-2528CZ","630-AFBR-2528CZ","https://www.mouser.co.uk/ProductDetail/Broadcom-Avago/AFBR-2528CZ/?qs=JUmsgfbaopRCd4Yx0HH7DA%3D%3D","","","","","","","","*","IC?","Integrated Circuit"
